PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-90	-80	160	170	54	-84.2	2.939	164.9	2.656	1.328	0.015	1.453	0.011	1.526	0.017	1.527	0.015	1.232	0.015	121.433	2.995	110.448	1.467	110.561	1.332	110.341	1.586	121.839	0.843	116.285	2.178	123.104	1.516	177.2	6.173	1	-90	160	10	10	-9	16	
-90	-80	170	180	24	-84.4	3.152	174.2	2.897	1.33	0.016	1.452	0.016	1.525	0.015	1.53	0.009	1.233	0.014	121.808	2.283	110.571	1.176	110.633	1.712	112.125	2.647	121.65	1.543	116.6	2.187	122.833	1.321	181.3	5.301	1	-90	170	10	10	-9	17	
-90	-80	20	30	5	-87.6	1.182	24.4	0.7	1.349	0.01	1.463	0.006	1.528	0.009	1.523	0.013	1.246	0.017	121.56	1.592	110.96	0.976	113.5	0.534	111.86	1.491	119.3	0.66	115.52	1.326	123.22	1.205	169.6	16.567	4	-90	20	10	10	-9	2	
-90	-80	-160	-150	1	-89.2	0	-158.7	0	1.345	0	1.467	0	1.552	0	1.525	0	1.23	0	119.5	0	109.2	0	108.8	0	117.1	0	119.5	0	112.4	0	125.8	0	186.7	0	-1	-90	-160	10	10	-9	-16	
-90	-80	-60	-50	8	-84.5	3.876	-54.3	2.701	1.324	0.01	1.452	0.017	1.54	0.017	1.533	0.013	1.233	0.013	122.437	1.883	109.913	1.532	111.163	1.583	111.363	1.914	120.7	1.305	117.137	1.672	122.525	0.9	188.1	7.418	1	-90	-60	10	10	-9	-6	
-90	-80	-170	-160	4	-85.6	3.068	-165	2.779	1.339	0.013	1.453	0.008	1.539	0.003	1.533	0.014	1.235	0.007	121.75	1.145	109.875	0.85	108.7	1.388	114.55	1.9	119.875	1.261	115.125	0.896	123.2	0.833	183.7	0.299	-1	-90	-170	10	10	-9	-17	
-90	-80	-70	-60	2	-82.8	2.871	-65.5	3.592	1.343	0.021	1.465	0.006	1.535	0.004	1.526	0.014	1.235	0.006	120.15	0.636	110.55	2.192	111.8	2.263	111.45	1.344	120.5	1.556	117.25	2.475	122.7	0.141	187.5	0.757	2	-90	-70	10	10	-9	-7	
-90	-80	-80	-70	1	-84.7	0	-77.2	0	1.318	0	1.485	0	1.533	0	1.524	0	1.23	0	122.9	0	110.5	0	107.8	0	115.1	0	122.6	0	118	0	123.4	0	173.3	0	-2	-90	-80	10	10	-9	-8	
-90	-80	40	50	1	-89.7	0	49.1	0	1.319	0	1.462	0	1.525	0	1.535	0	1.241	0	122.2	0	109.3	0	111.4	0	110.9	0	119.7	0	118.9	0	122.4	0	181.7	0	1	-90	40	10	10	-9	4	
-120	-110	10	20	43	-115	2.829	14.9	2.778	1.334	0.012	1.457	0.013	1.529	0.016	1.523	0.015	1.235	0.013	122.209	1.813	111.723	1.785	112.377	1.218	111.181	1.717	119.87	1.296	117.302	1.732	122.712	1.251	179.1	6.671	2	-120	10	10	10	-12	1	
-120	-110	150	160	75	-115.2	2.94	154.4	2.949	1.329	0.013	1.453	0.012	1.535	0.016	1.525	0.011	1.235	0.011	122.655	1.733	111.459	1.72	109.877	1.619	109.477	2.114	121.588	1.344	116.111	1.754	123.533	1.028	175.5	6.866	-0	-120	150	10	10	-12	15	
